"SQL Editor","Toggle Line Comment","⌘/","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.comment.single"
"Edit","Toggle Word Wrap","⌥⌘Y","Editing Text","org.eclipse.ui.edit.text.toggleWordWrap"
"Text Editing","Text Start","⌘↖","Editing Text","org.eclipse.ui.edit.text.goto.textStart"
"Edit","Content Assist","⌃Space","SQL Editor Context","org.eclipse.ui.edit.text.contentAssist.proposals"
"Result Set","Add row","⌥Insert","Results viewer context","org.jkiss.dbeaver.core.resultset.row.add"
"Navigate","Go to Line","⌘L","Editing Text","org.eclipse.ui.edit.text.goto.line"
"Edit","Quick Diff Toggle","⌃⇧Q","Editing Text","org.eclipse.quickdiff.toggle"
"Window","Show Ruler Context Menu","⌘F10","Editing Text","org.eclipse.ui.edit.text.showRulerContextMenu"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text","org.eclipse.ui.edit.findIncrementalReverse"
"Text Editing","Toggle Overwrite","Insert","Editing Text","org.eclipse.ui.edit.text.toggleOverwrite"
"Edit","Find Next","⌘K","Editing Text","org.eclipse.ui.edit.findNext"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows","org.eclipse.ui.views.showView"
"Connection","Commit","⌃4","In Windows","org.jkiss.dbeaver.core.commit"
"Window","Previous Perspective","⇧⌘F8","In Windows","org.eclipse.ui.window.previousPerspective"
"Result Set","Last row","⌃⌥⇧→","Results viewer context","org.jkiss.dbeaver.core.resultset.row.last"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text","org.eclipse.ui.edit.text.folding.toggle"
"Window","Toggle Split Editor (Horizontal)","⇧⌘-","In Windows","org.eclipse.ui.window.splitEditor"
"SQL Editor","Toggle Word Wrap","⌃⌥⇧W","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.word.wrap"
"Edit","Context Information","⌃⇧Space","In Dialogs and Windows","org.eclipse.ui.edit.text.contentAssist.contextInformation"
"Result Set","Toggle results sort order","⌃2","Results viewer context","org.jkiss.dbeaver.core.resultset.toggleOrder"
"SQL Editor","Execute Statements In Separate Tabs","⌃⌥⇧X","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.scriptNew"
"Views","Show View (Search)","⌥⌘Q S","In Windows","org.eclipse.ui.views.showView"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows","org.eclipse.ui.navigate.previousSubTab"
"Utility","Advanced Paste","⌃⇧V","In Windows","org.jkiss.dbeaver.core.edit.paste.special"
"File","Close All","⇧⌘W","In Windows","org.eclipse.ui.file.closeAll"
"Text Editing","Move Lines Down","⌥↓","Editing Text","org.eclipse.ui.edit.text.moveLineDown"
"Text Editing","Move Lines Up","⌃⇧↑","SQL Editor Context","org.eclipse.ui.edit.text.moveLineUp"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text","org.eclipse.ui.edit.text.copyLineUp"
"SQL Editor","Select row count","⌃⌥⇧C","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.count"
"SQL Editor","Rename SQL Script","⌃F2","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.rename"
"File","Save All","⇧⌘S","In Windows","org.eclipse.ui.file.saveAll"
"Text Editing","Select Previous Word","⌥⇧←","Editing Text","org.eclipse.ui.edit.text.select.wordPrevious"
"Result Set","Edit cell","⇧↩","Results viewer context","org.jkiss.dbeaver.core.resultset.row.edit"
"Window","Maximize Active View or Editor","⌃M","In Windows","org.eclipse.ui.window.maximizePart"
"Database Navigator","Add Bookmark","⌃⌥⇧D","Database navigator view context","org.jkiss.dbeaver.core.navigator.bookmark.add"
"Window","Show View Menu","⌘F10","In Dialogs and Windows","org.eclipse.ui.window.showViewMenu"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text","org.eclipse.ui.edit.text.smartEnterInverse"
"Window","Quick Switch Editor","⌘E","In Windows","org.eclipse.ui.window.openEditorDropDown"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text","org.eclipse.ui.edit.text.folding.restore"
"Text Editing","Zoom In","⌘+","Editing Text","org.eclipse.ui.edit.text.zoomIn"
"Text Editing","Zoom In","⌘=","Editing Text","org.eclipse.ui.edit.text.zoomIn"
"Edit","Content Assist","⌃Space","In Dialogs and Windows","org.eclipse.ui.edit.text.contentAssist.proposals"
"Text Editing","Select Text End","⇧↘","Editing Text","org.eclipse.ui.edit.text.select.textEnd"
"Text Editing","Line Start","⌘←","Editing Text","org.eclipse.ui.edit.text.goto.lineStart"
"Result Set","Reset cell changes","Esc","Results viewer context","org.jkiss.dbeaver.core.resultset.cell.reset"
"Edit","Incremental Find","⌘J","Editing Text","org.eclipse.ui.edit.findIncremental"
"Window","Previous View","⇧⌘F7","In Windows","org.eclipse.ui.window.previousView"
"Oracle","Compile","⌃F9","In Windows","org.jkiss.dbeaver.ext.oracle.code.compile"
"Connection","Open Dashboard","⌃⌥⇧B","DBeaver Perspective","org.jkiss.dbeaver.ui.dashboard.open"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text","org.eclipse.ui.edit.text.deletePreviousWord"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows","org.eclipse.ui.navigate.collapseAll"
"Text Editing","Text End","⌘↘","Editing Text","org.eclipse.ui.edit.text.goto.textEnd"
"Text Editing","Line End","⌘→","Editing Text","org.eclipse.ui.edit.text.goto.lineEnd"
"Text Editing","Join Lines","⌃⇧J","SQL Editor Context","org.eclipse.ui.edit.text.join.lines"
"Views","Show View","⌥⌘Q Q","In Windows","org.eclipse.ui.views.showView"
"View","Zoom Out","⌘-","In Windows","org.eclipse.gef.zoom_out"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text","org.eclipse.ui.edit.text.folding.collapse"
"Quick Search","Quick Search","⌥⇧⌘L","In Windows","org.eclipse.text.quicksearch.commands.quicksearchCommand"
"Search","Open Search Dialog","⌃H","In Windows","org.eclipse.search.ui.openSearchDialog"
"Text Editing","Text Start","↖","Editing Text","org.eclipse.ui.edit.text.goto.textStart"
"Edit","Find Previous","⇧⌘K","Editing Text","org.eclipse.ui.edit.findPrevious"
"Window","Next Perspective","⌘F8","In Windows","org.eclipse.ui.window.nextPerspective"
"Navigate","Go to Line","⌃G","In Windows","org.eclipse.ui.edit.text.goto.line"
"Edit","Select All","⌘A","In Dialogs and Windows","org.eclipse.ui.edit.selectAll"
"Text Editing","Delete Line","⌘D","Editing Text","org.eclipse.ui.edit.text.delete.line"
"Views","Show View (Problems)","⌥⌘Q X","In Windows","org.eclipse.ui.views.showView"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows","org.eclipse.ui.navigate.expandAll"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text","org.eclipse.ui.edit.text.folding.collapse_all"
"Result Set","Activate results/panel","⌃⇧7","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.activatePreview"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text","org.eclipse.ui.edit.text.toggleInsertMode"
"Navigate","Previous","⇧⌘.","In Windows","org.eclipse.ui.navigate.previous"
"SQL Editor","Maximize results panel","⌃⇧6","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.maximize.result.panel"
"File","Print","⌘P","In Windows","org.eclipse.ui.file.print"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows","org.eclipse.ui.window.showContextMenu"
"Navigate","Backward History","⌘[","In Windows","org.eclipse.ui.navigate.backwardHistory"
"SQL Editor","Previous query","⌥↑","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.query.prev"
"Connection","Select active schema","⌃0","In Windows","org.jkiss.dbeaver.ui.tools.select.schema"
"Views","Show View (Console)","⌥⌘Q C","In Windows","org.eclipse.ui.views.showView"
"Result Set","References","⌃1","Results viewer context","org.jkiss.dbeaver.core.resultset.referencesMenu"
"Navigate","Previous Tab","⇧⌘[","In Dialogs and Windows","org.eclipse.ui.navigate.previousTab"
"Window","Show Contributing Plug-in","⌥⇧F3","In Dialogs and Windows","org.eclipse.ui.window.spy"
"File","New menu","⌥⌘N","In Windows","org.eclipse.ui.file.newQuickMenu"
"Edit","Find and Replace","⌘F","In Windows","org.eclipse.ui.edit.findReplace"
